pdf_name,prompt_id,prompt_name,coverage_score,numeric_accuracy_score,similarity_score,semantic_similarity_score,source_faithfulness_score,investor_relevance_score,hallucination_penalty,final_score,rank
JKH_2023.pdf,prompt_06,Ratio-Aware Prompt,0.9592,0.037,0.081,0.081,0.0,1.0,0.25,0.1634,1
JKH_2023.pdf,prompt_07,Risk-Focused Investor Prompt,0.9592,0.0,0.0987,0.0987,0.0,1.0,0.25,0.1595,2
JKH_2023.pdf,prompt_08,Beginner Investor Explanation Prompt,0.9592,0.0,0.0931,0.0931,0.0,1.0,0.25,0.1584,3
JKH_2023.pdf,prompt_02,Role-Based Financial Analyst Prompt,0.9592,0.0,0.0857,0.0857,0.0,1.0,0.25,0.1569,4
JKH_2023.pdf,prompt_10,Hybrid Best-Practice Prompt,0.9592,0.0,0.0821,0.0821,0.0,1.0,0.25,0.1562,5
JKH_2023.pdf,prompt_01,Basic Extraction Prompt,0.9388,0.0,0.0859,0.0859,0.0,1.0,0.25,0.1519,6
JKH_2023.pdf,prompt_03,JSON Schema-Constrained Prompt,0.9184,0.0,0.1057,0.1057,0.0,1.0,0.25,0.1507,7
JKH_2023.pdf,prompt_05,Chain-of-Verification Prompt,0.9184,0.0,0.1032,0.1032,0.0,1.0,0.25,0.1502,8
JKH_2023.pdf,prompt_04,Source-Grounded Evidence Prompt,0.9184,0.0,0.1005,0.1005,0.0,1.0,0.25,0.1497,9
JKH_2023.pdf,prompt_09,Few-Shot Prompt,0.9184,0.0,0.0939,0.0939,0.0,1.0,0.25,0.1484,10
